market_l5,product_l3_desc,revenue_recognition_date,day_sales_usd,is_holiday,series_id,day_name,is_billing_day,day_of_week,day_of_month,month,latest_same_day_of_week_intramonth,rolling_mean_same_day_of_week_28_prev_month,rolling_mean_same_day_of_week_84_prev_month,week_of_month,part_of_month,first_week,last_week,days_in_month,monthly_sin,monthly_cos,quarter,days_since_start_of_quarter,days_until_end_of_quarter,days_in_quarter,quarterly_sin,quarterly_cos
Atlantis,IrisInnovations,2021-01-01,4417541.23,True,Atlantis_IrisInnovations,Friday,True,4,1,1,,,,Week 1,Early,True,False,31,0.20129852008866006,0.9795299412524945,Q1,0,90,90,0.0,1.0
Atlantis,IrisInnovations,2021-01-02,511061.12,False,Atlantis_IrisInnovations,Saturday,False,5,2,1,,,,Week 1,Early,True,False,31,0.39435585511331855,0.9189578116202306,Q1,1,89,90,0.0697564737441253,0.9975640502598242
Atlantis,IrisInnovations,2021-01-03,54724.88,False,Atlantis_IrisInnovations,Sunday,False,6,3,1,,,,Week 1,Early,True,False,31,0.5712682150947923,0.8207634412072763,Q1,2,88,90,0.13917310096006544,0.9902680687415704
Atlantis,IrisInnovations,2021-01-04,167284.09,False,Atlantis_IrisInnovations,Monday,True,0,4,1,,,,Week 2,Early,True,False,31,0.7247927872291199,0.6889669190756866,Q1,3,87,90,0.20791169081775931,0.9781476007338057
Atlantis,IrisInnovations,2021-01-05,1476838.88,False,Atlantis_IrisInnovations,Tuesday,True,1,5,1,,,,Week 2,Early,True,False,31,0.8486442574947509,0.5289640103269624,Q1,4,86,90,0.27563735581699916,0.9612616959383189
Atlantis,IrisInnovations,2021-01-06,3693509.04,False,Atlantis_IrisInnovations,Wednesday,True,2,6,1,,,,Week 2,Early,True,False,31,0.9377521321470804,0.3473052528448203,Q1,5,85,90,0.3420201433256687,0.9396926207859084
Atlantis,IrisInnovations,2021-01-07,4320472.31,False,Atlantis_IrisInnovations,Thursday,True,3,7,1,,,,Week 2,Early,True,False,31,0.9884683243281114,0.1514277775045767,Q1,6,84,90,0.40673664307580015,0.9135454576426009
Atlantis,IrisInnovations,2021-01-08,4212322.24,False,Atlantis_IrisInnovations,Friday,True,4,8,1,4417541.23,,,Week 2,Early,False,False,31,0.9987165071710528,-0.05064916883871264,Q1,7,83,90,0.4694715627858908,0.882947592858927
Atlantis,IrisInnovations,2021-01-09,2875779.78,False,Atlantis_IrisInnovations,Saturday,False,5,9,1,511061.12,,,Week 2,Early,False,False,31,0.9680771188662043,-0.2506525322587204,Q1,8,82,90,0.5299192642332049,0.848048096156426
Atlantis,IrisInnovations,2021-01-10,1100055.29,False,Atlantis_IrisInnovations,Sunday,False,6,10,1,54724.88,,,Week 2,Early,False,False,31,0.8978045395707416,-0.4403941515576344,Q1,9,81,90,0.5877852522924731,0.8090169943749475
Atlantis,IrisInnovations,2021-01-11,312594.51,False,Atlantis_IrisInnovations,Monday,True,0,11,1,167284.09,,,Week 3,Mid,False,False,31,0.7907757369376989,-0.6121059825476626,Q1,10,80,90,0.6427876096865393,0.766044443118978
Atlantis,IrisInnovations,2021-01-12,1657939.09,False,Atlantis_IrisInnovations,Tuesday,True,1,12,1,1476838.88,,,Week 3,Mid,False,False,31,0.6513724827222223,-0.7587581226927909,Q1,11,79,90,0.6946583704589973,0.7193398003386512
Atlantis,IrisInnovations,2021-01-13,3704984.4,False,Atlantis_IrisInnovations,Wednesday,True,2,13,1,3693509.04,,,Week 3,Mid,False,False,31,0.48530196253108104,-0.8743466161445821,Q1,12,78,90,0.7431448254773941,0.6691306063588582
Atlantis,IrisInnovations,2021-01-14,3937864.02,False,Atlantis_IrisInnovations,Thursday,True,3,14,1,4320472.31,,,Week 3,Mid,False,False,31,0.29936312297335804,-0.9541392564000488,Q1,13,77,90,0.788010753606722,0.6156614753256583
Atlantis,IrisInnovations,2021-01-15,3820862.38,False,Atlantis_IrisInnovations,Friday,True,4,15,1,4212322.24,,,Week 3,Mid,False,False,31,0.10116832198743272,-0.994869323391895,Q1,14,76,90,0.8290375725550417,0.5591929034707468
Atlantis,IrisInnovations,2021-01-16,2521088.56,False,Atlantis_IrisInnovations,Saturday,False,5,16,1,2875779.78,,,Week 3,Mid,False,False,31,-0.10116832198743204,-0.9948693233918952,Q1,15,75,90,0.8660254037844386,0.5000000000000001
Atlantis,IrisInnovations,2021-01-17,1254582.31,False,Atlantis_IrisInnovations,Sunday,False,6,17,1,1100055.29,,,Week 3,Mid,False,False,31,-0.2993631229733582,-0.9541392564000488,Q1,16,74,90,0.898794046299167,0.43837114678907746
Atlantis,IrisInnovations,2021-01-18,132692.04,True,Atlantis_IrisInnovations,Monday,True,0,18,1,312594.51,,,Week 4,Mid,False,False,31,-0.4853019625310808,-0.8743466161445822,Q1,17,73,90,0.9271838545667874,0.37460659341591196
Atlantis,IrisInnovations,2021-01-19,453387.78,False,Atlantis_IrisInnovations,Tuesday,True,1,19,1,1657939.09,,,Week 4,Mid,False,False,31,-0.651372482722222,-0.7587581226927911,Q1,18,72,90,0.9510565162951535,0.30901699437494745
Atlantis,IrisInnovations,2021-01-20,2467662.85,False,Atlantis_IrisInnovations,Wednesday,True,2,20,1,3704984.4,,,Week 4,Mid,False,False,31,-0.7907757369376986,-0.6121059825476627,Q1,19,71,90,0.9702957262759965,0.2419218955996679
Atlantis,IrisInnovations,2021-01-21,4339417.44,False,Atlantis_IrisInnovations,Thursday,True,3,21,1,3937864.02,,,Week 4,Late,False,False,31,-0.8978045395707417,-0.44039415155763423,Q1,20,70,90,0.984807753012208,0.17364817766693041
Atlantis,IrisInnovations,2021-01-22,4948135.38,False,Atlantis_IrisInnovations,Friday,True,4,22,1,3820862.38,,,Week 4,Late,False,False,31,-0.9680771188662041,-0.2506525322587213,Q1,21,69,90,0.9945218953682733,0.10452846326765346
Atlantis,IrisInnovations,2021-01-23,3918942.95,False,Atlantis_IrisInnovations,Saturday,False,5,23,1,2521088.56,,,Week 4,Late,False,False,31,-0.9987165071710528,-0.05064916883871355,Q1,22,68,90,0.9993908270190958,0.03489949670250108
Atlantis,IrisInnovations,2021-01-24,1289104.78,False,Atlantis_IrisInnovations,Sunday,False,6,24,1,1254582.31,,,Week 4,Late,False,False,31,-0.9884683243281114,0.15142777750457667,Q1,23,67,90,0.9993908270190958,-0.03489949670250073
Atlantis,IrisInnovations,2021-01-25,787526.73,False,Atlantis_IrisInnovations,Monday,True,0,25,1,132692.04,,,Week 5,Late,False,True,31,-0.9377521321470804,0.3473052528448203,Q1,24,66,90,0.9945218953682734,-0.10452846326765333
Atlantis,IrisInnovations,2021-01-26,1672425.96,False,Atlantis_IrisInnovations,Tuesday,True,1,26,1,453387.78,,,Week 5,Late,False,True,31,-0.848644257494751,0.5289640103269624,Q1,25,65,90,0.984807753012208,-0.1736481776669303
Atlantis,IrisInnovations,2021-01-27,3724607.01,False,Atlantis_IrisInnovations,Wednesday,True,2,27,1,2467662.85,,,Week 5,Late,False,True,31,-0.72479278722912,0.6889669190756865,Q1,26,64,90,0.9702957262759965,-0.24192189559966779
Atlantis,IrisInnovations,2021-01-28,4158989.69,False,Atlantis_IrisInnovations,Thursday,True,3,28,1,4339417.44,,,Week 5,Late,False,True,31,-0.5712682150947924,0.8207634412072763,Q1,27,63,90,0.9510565162951536,-0.30901699437494734
Atlantis,IrisInnovations,2021-01-29,4409858.77,False,Atlantis_IrisInnovations,Friday,True,4,29,1,4948135.38,,,Week 5,Late,False,True,31,-0.3943558551133187,0.9189578116202306,Q1,28,62,90,0.9271838545667874,-0.37460659341591207
Atlantis,IrisInnovations,2021-01-31,-1637214.52,False,Atlantis_IrisInnovations,Sunday,False,6,31,1,1289104.78,,,Week 5,Late,False,True,31,-2.4492935982947064e-16,1.0,Q1,30,60,90,0.8660254037844387,-0.4999999999999998
Atlantis,IrisInnovations,2021-02-01,4818657.73,False,Atlantis_IrisInnovations,Monday,True,0,1,2,,350024.3425,350024.3425,Week 1,Early,True,False,28,0.2225209339563144,0.9749279121818236,Q1,31,59,90,0.8290375725550417,-0.5591929034707467
Atlantis,IrisInnovations,2021-02-02,1933054.61,False,Atlantis_IrisInnovations,Tuesday,True,1,2,2,,1315147.9275,1315147.9275,Week 1,Early,True,False,28,0.4338837391175581,0.9009688679024191,Q1,32,58,90,0.788010753606722,-0.6156614753256583
Atlantis,IrisInnovations,2021-02-03,3940390.79,False,Atlantis_IrisInnovations,Wednesday,True,2,3,2,,3397690.8249999997,3397690.8249999997,Week 1,Early,True,False,28,0.6234898018587335,0.7818314824680298,Q1,33,57,90,0.7431448254773942,-0.6691306063588582
Atlantis,IrisInnovations,2021-02-04,4296185.09,False,Atlantis_IrisInnovations,Thursday,True,3,4,2,,4189185.8649999998,4189185.8649999998,Week 1,Early,True,False,28,0.7818314824680298,0.6234898018587336,Q1,34,56,90,0.6946583704589971,-0.7193398003386512
Atlantis,IrisInnovations,2021-02-05,4111156.65,False,Atlantis_IrisInnovations,Friday,True,4,5,2,,4347794.6925,4361744.0,Week 1,Early,True,False,28,0.9009688679024191,0.4338837391175582,Q1,35,55,90,0.6427876096865395,-0.7660444431189779
Atlantis,IrisInnovations,2021-02-06,-314.24,False,Atlantis_IrisInnovations,Saturday,False,5,6,2,,3105270.4299999997,2456718.1025,Week 1,Early,True,False,28,0.9749279121818236,0.22252093395631445,Q1,36,54,90,0.5877852522924732,-0.8090169943749473
Atlantis,IrisInnovations,2021-02-08,4683123.0,False,Atlantis_IrisInnovations,Monday,True,0,8,2,4818657.73,350024.3425,350024.3425,Week 2,Early,False,False,28,0.9749279121818236,-0.22252093395631434,Q1,38,52,90,0.4694715627858911,-0.8829475928589268
Atlantis,IrisInnovations,2021-02-09,1614604.15,False,Atlantis_IrisInnovations,Tuesday,True,1,9,2,1933054.61,1315147.9275,1315147.9275,Week 2,Early,False,False,28,0.9009688679024191,-0.43388373911755806,Q1,39,51,90,0.40673664307580043,-0.9135454576426008
Atlantis,IrisInnovations,2021-02-10,3692449.88,False,Atlantis_IrisInnovations,Wednesday,True,2,10,2,3940390.79,3397690.8249999997,3397690.8249999997,Week 2,Early,False,False,28,0.7818314824680299,-0.6234898018587335,Q1,40,50,90,0.3420201433256689,-0.9396926207859083
Atlantis,IrisInnovations,2021-02-11,4355302.63,False,Atlantis_IrisInnovations,Thursday,True,3,11,2,4296185.09,4189185.8649999998,4189185.8649999998,Week 2,Mid,False,False,28,0.6234898018587339,-0.7818314824680295,Q1,41,49,90,0.27563735581699966,-0.9612616959383187
Atlantis,IrisInnovations,2021-02-12,5145758.89,False,Atlantis_IrisInnovations,Friday,True,4,12,2,4111156.65,4347794.6925,4361744.0,Week 2,Mid,False,False,28,0.43388373911755823,-0.900968867902419,Q1,42,48,90,0.20791169081775931,-0.9781476007338057
Atlantis,IrisInnovations,2021-02-15,5295822.68,True,Atlantis_IrisInnovations,Monday,True,0,15,2,4683123.0,350024.3425,350024.3425,Week 3,Mid,False,False,28,-0.22252093395631384,-0.9749279121818237,Q1,45,45,90,1.2246467991473532e-16,-1.0
Atlantis,IrisInnovations,2021-02-16,1043783.52,False,Atlantis_IrisInnovations,Tuesday,True,1,16,2,1614604.15,1315147.9275,1315147.9275,Week 3,Mid,False,False,28,-0.433883739117558,-0.9009688679024191,Q1,46,44,90,-0.06975647374412483,-0.9975640502598243
Atlantis,IrisInnovations,2021-02-17,1980082.55,False,Atlantis_IrisInnovations,Wednesday,True,2,17,2,3692449.88,3397690.8249999997,3397690.8249999997,Week 3,Mid,False,False,28,-0.6234898018587338,-0.7818314824680296,Q1,47,43,90,-0.13917310096006552,-0.9902680687415703
