market_l5,product_l3_desc,revenue_recognition_date,day_sales_usd,is_holiday,series_id,day_name,is_billing_day,day_of_week,day_of_month,month,latest_same_day_of_week_intramonth,rolling_mean_same_day_of_week_28_prev_month,rolling_mean_same_day_of_week_84_prev_month,week_of_month,part_of_month,first_week,last_week,days_in_month,monthly_sin,monthly_cos,quarter,days_since_start_of_quarter,days_until_end_of_quarter,days_in_quarter,quarterly_sin,quarterly_cos
Narnia,LensLogic,2021-01-01,734018.5182179059,False,Narnia_LensLogic,Friday,True,4,1,1,,,,Week 1,Early,True,False,31,0.20129852008866006,0.9795299412524945,Q1,0,90,90,0.0,1.0
Narnia,LensLogic,2021-01-02,8960.134482289834,False,Narnia_LensLogic,Saturday,False,5,2,1,,,,Week 1,Early,True,False,31,0.39435585511331855,0.9189578116202306,Q1,1,89,90,0.0697564737441253,0.9975640502598242
Narnia,LensLogic,2021-01-04,186191.8174448012,False,Narnia_LensLogic,Monday,True,0,4,1,,,,Week 2,Early,True,False,31,0.7247927872291199,0.6889669190756866,Q1,3,87,90,0.20791169081775931,0.9781476007338057
Narnia,LensLogic,2021-01-05,554705.3593631319,False,Narnia_LensLogic,Tuesday,True,1,5,1,,,,Week 2,Early,True,False,31,0.8486442574947509,0.5289640103269624,Q1,4,86,90,0.27563735581699916,0.9612616959383189
Narnia,LensLogic,2021-01-06,330465.9529306426,False,Narnia_LensLogic,Wednesday,True,2,6,1,,,,Week 2,Early,True,False,31,0.9377521321470804,0.3473052528448203,Q1,5,85,90,0.3420201433256687,0.9396926207859084
Narnia,LensLogic,2021-01-07,422911.457017471,False,Narnia_LensLogic,Thursday,True,3,7,1,,,,Week 2,Early,True,False,31,0.9884683243281114,0.1514277775045767,Q1,6,84,90,0.40673664307580015,0.9135454576426009
Narnia,LensLogic,2021-01-08,501565.7848335171,False,Narnia_LensLogic,Friday,True,4,8,1,734018.5182179059,,,Week 2,Early,False,False,31,0.9987165071710528,-0.05064916883871264,Q1,7,83,90,0.4694715627858908,0.882947592858927
Narnia,LensLogic,2021-01-09,193547.6686157391,False,Narnia_LensLogic,Saturday,False,5,9,1,8960.134482289834,,,Week 2,Early,False,False,31,0.9680771188662043,-0.2506525322587204,Q1,8,82,90,0.5299192642332049,0.848048096156426
Narnia,LensLogic,2021-01-10,50131.39664659938,False,Narnia_LensLogic,Sunday,False,6,10,1,,,,Week 2,Early,False,False,31,0.8978045395707416,-0.4403941515576344,Q1,9,81,90,0.5877852522924731,0.8090169943749475
Narnia,LensLogic,2021-01-11,448273.75289939047,False,Narnia_LensLogic,Monday,True,0,11,1,186191.8174448012,,,Week 3,Mid,False,False,31,0.7907757369376989,-0.6121059825476626,Q1,10,80,90,0.6427876096865393,0.766044443118978
Narnia,LensLogic,2021-01-12,645171.5943871012,False,Narnia_LensLogic,Tuesday,True,1,12,1,554705.3593631319,,,Week 3,Mid,False,False,31,0.6513724827222223,-0.7587581226927909,Q1,11,79,90,0.6946583704589973,0.7193398003386512
Narnia,LensLogic,2021-01-13,627818.7453457247,False,Narnia_LensLogic,Wednesday,True,2,13,1,330465.9529306426,,,Week 3,Mid,False,False,31,0.48530196253108104,-0.8743466161445821,Q1,12,78,90,0.7431448254773941,0.6691306063588582
Narnia,LensLogic,2021-01-14,910491.3302829792,False,Narnia_LensLogic,Thursday,True,3,14,1,422911.457017471,,,Week 3,Mid,False,False,31,0.29936312297335804,-0.9541392564000488,Q1,13,77,90,0.788010753606722,0.6156614753256583
Narnia,LensLogic,2021-01-15,738392.72930053,False,Narnia_LensLogic,Friday,True,4,15,1,501565.7848335171,,,Week 3,Mid,False,False,31,0.10116832198743272,-0.994869323391895,Q1,14,76,90,0.8290375725550417,0.5591929034707468
Narnia,LensLogic,2021-01-16,287516.4073175585,False,Narnia_LensLogic,Saturday,False,5,16,1,193547.6686157391,,,Week 3,Mid,False,False,31,-0.10116832198743204,-0.9948693233918952,Q1,15,75,90,0.8660254037844386,0.5000000000000001
Narnia,LensLogic,2021-01-17,16643.578415743017,False,Narnia_LensLogic,Sunday,False,6,17,1,50131.39664659938,,,Week 3,Mid,False,False,31,-0.2993631229733582,-0.9541392564000488,Q1,16,74,90,0.898794046299167,0.43837114678907746
Narnia,LensLogic,2021-01-18,388947.5676124184,False,Narnia_LensLogic,Monday,True,0,18,1,448273.75289939047,,,Week 4,Mid,False,False,31,-0.4853019625310808,-0.8743466161445822,Q1,17,73,90,0.9271838545667874,0.37460659341591196
Narnia,LensLogic,2021-01-19,616672.9965138771,False,Narnia_LensLogic,Tuesday,True,1,19,1,645171.5943871012,,,Week 4,Mid,False,False,31,-0.651372482722222,-0.7587581226927911,Q1,18,72,90,0.9510565162951535,0.30901699437494745
Narnia,LensLogic,2021-01-20,673436.0432520232,False,Narnia_LensLogic,Wednesday,True,2,20,1,627818.7453457247,,,Week 4,Mid,False,False,31,-0.7907757369376986,-0.6121059825476627,Q1,19,71,90,0.9702957262759965,0.2419218955996679
Narnia,LensLogic,2021-01-21,849006.0307019599,False,Narnia_LensLogic,Thursday,True,3,21,1,910491.3302829792,,,Week 4,Late,False,False,31,-0.8978045395707417,-0.44039415155763423,Q1,20,70,90,0.984807753012208,0.17364817766693041
Narnia,LensLogic,2021-01-22,638982.1250246601,False,Narnia_LensLogic,Friday,True,4,22,1,738392.72930053,,,Week 4,Late,False,False,31,-0.9680771188662041,-0.2506525322587213,Q1,21,69,90,0.9945218953682733,0.10452846326765346
Narnia,LensLogic,2021-01-23,327424.21394962794,False,Narnia_LensLogic,Saturday,False,5,23,1,287516.4073175585,,,Week 4,Late,False,False,31,-0.9987165071710528,-0.05064916883871355,Q1,22,68,90,0.9993908270190958,0.03489949670250108
Narnia,LensLogic,2021-01-24,15253.527097474309,False,Narnia_LensLogic,Sunday,False,6,24,1,16643.578415743017,,,Week 4,Late,False,False,31,-0.9884683243281114,0.15142777750457667,Q1,23,67,90,0.9993908270190958,-0.03489949670250073
Narnia,LensLogic,2021-01-25,410497.30364063126,False,Narnia_LensLogic,Monday,True,0,25,1,388947.5676124184,,,Week 5,Late,False,True,31,-0.9377521321470804,0.3473052528448203,Q1,24,66,90,0.9945218953682734,-0.10452846326765333
Narnia,LensLogic,2021-01-26,787196.508260129,False,Narnia_LensLogic,Tuesday,True,1,26,1,616672.9965138771,,,Week 5,Late,False,True,31,-0.848644257494751,0.5289640103269624,Q1,25,65,90,0.984807753012208,-0.1736481776669303
