market_l5,product_l3_desc,revenue_recognition_date,day_sales_usd,is_holiday,series_id,day_name,is_billing_day,day_of_week,day_of_month,month,latest_same_day_of_week_intramonth,rolling_mean_same_day_of_week_28_prev_month,rolling_mean_same_day_of_week_84_prev_month,week_of_month,part_of_month,first_week,last_week,days_in_month,monthly_sin,monthly_cos,quarter,days_since_start_of_quarter,days_until_end_of_quarter,days_in_quarter,quarterly_sin,quarterly_cos
Narnia,OptiGlimpse,2021-01-01,1840304.107082371,False,Narnia_OptiGlimpse,Friday,True,4,1,1,,,,Week 1,Early,True,False,31,0.20129852008866006,0.9795299412524945,Q1,0,90,90,0.0,1.0
Narnia,OptiGlimpse,2021-01-02,187781.1537573322,False,Narnia_OptiGlimpse,Saturday,False,5,2,1,,,,Week 1,Early,True,False,31,0.39435585511331855,0.9189578116202306,Q1,1,89,90,0.0697564737441253,0.9975640502598242
Narnia,OptiGlimpse,2021-01-03,1126.0146995093378,False,Narnia_OptiGlimpse,Sunday,False,6,3,1,,,,Week 1,Early,True,False,31,0.5712682150947923,0.8207634412072763,Q1,2,88,90,0.13917310096006544,0.9902680687415704
Narnia,OptiGlimpse,2021-01-04,695937.3108669799,False,Narnia_OptiGlimpse,Monday,True,0,4,1,,,,Week 2,Early,True,False,31,0.7247927872291199,0.6889669190756866,Q1,3,87,90,0.20791169081775931,0.9781476007338057
Narnia,OptiGlimpse,2021-01-05,1370357.03005282,False,Narnia_OptiGlimpse,Tuesday,True,1,5,1,,,,Week 2,Early,True,False,31,0.8486442574947509,0.5289640103269624,Q1,4,86,90,0.27563735581699916,0.9612616959383189
Narnia,OptiGlimpse,2021-01-06,1932312.532612833,False,Narnia_OptiGlimpse,Wednesday,True,2,6,1,,,,Week 2,Early,True,False,31,0.9377521321470804,0.3473052528448203,Q1,5,85,90,0.3420201433256687,0.9396926207859084
Narnia,OptiGlimpse,2021-01-07,2016854.1140361947,False,Narnia_OptiGlimpse,Thursday,True,3,7,1,,,,Week 2,Early,True,False,31,0.9884683243281114,0.1514277775045767,Q1,6,84,90,0.40673664307580015,0.9135454576426009
Narnia,OptiGlimpse,2021-01-08,1780145.9732123865,False,Narnia_OptiGlimpse,Friday,True,4,8,1,1840304.107082371,,,Week 2,Early,False,False,31,0.9987165071710528,-0.05064916883871264,Q1,7,83,90,0.4694715627858908,0.882947592858927
Narnia,OptiGlimpse,2021-01-09,1318918.6279777116,False,Narnia_OptiGlimpse,Saturday,False,5,9,1,187781.1537573322,,,Week 2,Early,False,False,31,0.9680771188662043,-0.2506525322587204,Q1,8,82,90,0.5299192642332049,0.848048096156426
Narnia,OptiGlimpse,2021-01-10,379404.51060406177,False,Narnia_OptiGlimpse,Sunday,False,6,10,1,1126.0146995093378,,,Week 2,Early,False,False,31,0.8978045395707416,-0.4403941515576344,Q1,9,81,90,0.5877852522924731,0.8090169943749475
Narnia,OptiGlimpse,2021-01-11,526995.3613145375,False,Narnia_OptiGlimpse,Monday,True,0,11,1,695937.3108669799,,,Week 3,Mid,False,False,31,0.7907757369376989,-0.6121059825476626,Q1,10,80,90,0.6427876096865393,0.766044443118978
Narnia,OptiGlimpse,2021-01-12,1887638.3491781645,False,Narnia_OptiGlimpse,Tuesday,True,1,12,1,1370357.03005282,,,Week 3,Mid,False,False,31,0.6513724827222223,-0.7587581226927909,Q1,11,79,90,0.6946583704589973,0.7193398003386512
Narnia,OptiGlimpse,2021-01-13,2049642.603262701,False,Narnia_OptiGlimpse,Wednesday,True,2,13,1,1932312.532612833,,,Week 3,Mid,False,False,31,0.48530196253108104,-0.8743466161445821,Q1,12,78,90,0.7431448254773941,0.6691306063588582
Narnia,OptiGlimpse,2021-01-14,1519738.7501057575,False,Narnia_OptiGlimpse,Thursday,True,3,14,1,2016854.1140361947,,,Week 3,Mid,False,False,31,0.29936312297335804,-0.9541392564000488,Q1,13,77,90,0.788010753606722,0.6156614753256583
Narnia,OptiGlimpse,2021-01-15,3743774.530393263,False,Narnia_OptiGlimpse,Friday,True,4,15,1,1780145.9732123865,,,Week 3,Mid,False,False,31,0.10116832198743272,-0.994869323391895,Q1,14,76,90,0.8290375725550417,0.5591929034707468
Narnia,OptiGlimpse,2021-01-16,1022865.5047503927,False,Narnia_OptiGlimpse,Saturday,False,5,16,1,1318918.6279777116,,,Week 3,Mid,False,False,31,-0.10116832198743204,-0.9948693233918952,Q1,15,75,90,0.8660254037844386,0.5000000000000001
Narnia,OptiGlimpse,2021-01-17,367749.1674935184,False,Narnia_OptiGlimpse,Sunday,False,6,17,1,379404.51060406177,,,Week 3,Mid,False,False,31,-0.2993631229733582,-0.9541392564000488,Q1,16,74,90,0.898794046299167,0.43837114678907746
Narnia,OptiGlimpse,2021-01-18,613503.3378708041,False,Narnia_OptiGlimpse,Monday,True,0,18,1,526995.3613145375,,,Week 4,Mid,False,False,31,-0.4853019625310808,-0.8743466161445822,Q1,17,73,90,0.9271838545667874,0.37460659341591196
Narnia,OptiGlimpse,2021-01-19,2817875.446102888,False,Narnia_OptiGlimpse,Tuesday,True,1,19,1,1887638.3491781645,,,Week 4,Mid,False,False,31,-0.651372482722222,-0.7587581226927911,Q1,18,72,90,0.9510565162951535,0.30901699437494745
Narnia,OptiGlimpse,2021-01-20,1580919.0767589556,False,Narnia_OptiGlimpse,Wednesday,True,2,20,1,2049642.603262701,,,Week 4,Mid,False,False,31,-0.7907757369376986,-0.6121059825476627,Q1,19,71,90,0.9702957262759965,0.2419218955996679
Narnia,OptiGlimpse,2021-01-21,1405946.5687870071,False,Narnia_OptiGlimpse,Thursday,True,3,21,1,1519738.7501057575,,,Week 4,Late,False,False,31,-0.8978045395707417,-0.44039415155763423,Q1,20,70,90,0.984807753012208,0.17364817766693041
Narnia,OptiGlimpse,2021-01-22,1400640.6242382927,False,Narnia_OptiGlimpse,Friday,True,4,22,1,3743774.530393263,,,Week 4,Late,False,False,31,-0.9680771188662041,-0.2506525322587213,Q1,21,69,90,0.9945218953682733,0.10452846326765346
Narnia,OptiGlimpse,2021-01-23,1023860.845548264,False,Narnia_OptiGlimpse,Saturday,False,5,23,1,1022865.5047503927,,,Week 4,Late,False,False,31,-0.9987165071710528,-0.05064916883871355,Q1,22,68,90,0.9993908270190958,0.03489949670250108
Narnia,OptiGlimpse,2021-01-24,482352.9246877625,False,Narnia_OptiGlimpse,Sunday,False,6,24,1,367749.1674935184,,,Week 4,Late,False,False,31,-0.9884683243281114,0.15142777750457667,Q1,23,67,90,0.9993908270190958,-0.03489949670250073
Narnia,OptiGlimpse,2021-01-25,1456528.9884352384,False,Narnia_OptiGlimpse,Monday,True,0,25,1,613503.3378708041,,,Week 5,Late,False,True,31,-0.9377521321470804,0.3473052528448203,Q1,24,66,90,0.9945218953682734,-0.10452846326765333
Narnia,OptiGlimpse,2021-01-26,1870603.045741476,False,Narnia_OptiGlimpse,Tuesday,True,1,26,1,2817875.446102888,,,Week 5,Late,False,True,31,-0.848644257494751,0.5289640103269624,Q1,25,65,90,0.984807753012208,-0.1736481776669303
Narnia,OptiGlimpse,2021-01-27,3040375.791406838,False,Narnia_OptiGlimpse,Wednesday,True,2,27,1,1580919.0767589556,,,Week 5,Late,False,True,31,-0.72479278722912,0.6889669190756865,Q1,26,64,90,0.9702957262759965,-0.24192189559966779
Narnia,OptiGlimpse,2021-01-28,1860440.598664884,False,Narnia_OptiGlimpse,Thursday,True,3,28,1,1405946.5687870071,,,Week 5,Late,False,True,31,-0.5712682150947924,0.8207634412072763,Q1,27,63,90,0.9510565162951536,-0.30901699437494734
Narnia,OptiGlimpse,2021-01-29,1678706.1240114532,False,Narnia_OptiGlimpse,Friday,True,4,29,1,1400640.6242382927,,,Week 5,Late,False,True,31,-0.3943558551133187,0.9189578116202306,Q1,28,62,90,0.9271838545667874,-0.37460659341591207
Narnia,OptiGlimpse,2021-01-30,2327958.452664031,False,Narnia_OptiGlimpse,Saturday,False,5,30,1,1023860.845548264,,,Week 5,Late,False,True,31,-0.20129852008866114,0.9795299412524943,Q1,29,61,90,0.8987940462991669,-0.4383711467890775
Narnia,OptiGlimpse,2021-01-31,-1840675.3313717844,False,Narnia_OptiGlimpse,Sunday,False,6,31,1,482352.9246877625,,,Week 5,Late,False,True,31,-2.4492935982947064e-16,1.0,Q1,30,60,90,0.8660254037844387,-0.4999999999999998
Narnia,OptiGlimpse,2021-02-01,3824984.7322220406,False,Narnia_OptiGlimpse,Monday,True,0,1,2,,823241.24962189,823241.24962189,Week 1,Early,True,False,28,0.2225209339563144,0.9749279121818236,Q1,31,59,90,0.8290375725550417,-0.5591929034707467
Narnia,OptiGlimpse,2021-02-02,2089327.157789297,False,Narnia_OptiGlimpse,Tuesday,True,1,2,2,,1986618.4677688372,1986618.4677688372,Week 1,Early,True,False,28,0.4338837391175581,0.9009688679024191,Q1,32,58,90,0.788010753606722,-0.6156614753256583
Narnia,OptiGlimpse,2021-02-03,1589434.3047889671,False,Narnia_OptiGlimpse,Wednesday,True,2,3,2,,2150812.5010103323,2150812.5010103323,Week 1,Early,True,False,28,0.6234898018587335,0.7818314824680298,Q1,33,57,90,0.7431448254773942,-0.6691306063588582
Narnia,OptiGlimpse,2021-02-04,2023529.836155336,False,Narnia_OptiGlimpse,Thursday,True,3,4,2,,1700745.0078984606,1700745.0078984606,Week 1,Early,True,False,28,0.7818314824680298,0.6234898018587336,Q1,34,56,90,0.6946583704589971,-0.7193398003386512
Narnia,OptiGlimpse,2021-02-05,1481079.494373903,False,Narnia_OptiGlimpse,Friday,True,4,5,2,,2150816.812963849,2088714.2717875533,Week 1,Early,True,False,28,0.9009688679024191,0.4338837391175582,Q1,35,55,90,0.6427876096865395,-0.7660444431189779
Narnia,OptiGlimpse,2021-02-06,386131.0603519552,False,Narnia_OptiGlimpse,Saturday,False,5,6,2,,1423400.8577350997,1176276.9169395461,Week 1,Early,True,False,28,0.9749279121818236,0.22252093395631445,Q1,36,54,90,0.5877852522924732,-0.8090169943749473
