market_l5,product_l3_desc,revenue_recognition_date,day_sales_usd,is_holiday,series_id,day_name,is_billing_day,day_of_week,day_of_month,month,latest_same_day_of_week_intramonth,rolling_mean_same_day_of_week_28_prev_month,rolling_mean_same_day_of_week_84_prev_month,week_of_month,part_of_month,first_week,last_week,days_in_month,monthly_sin,monthly_cos,quarter,days_since_start_of_quarter,days_until_end_of_quarter,days_in_quarter,quarterly_sin,quarterly_cos
Rivendell,SightSphere,2021-01-04,319540.07030416746,False,Rivendell_SightSphere,Monday,True,0,4,1,,,,Week 2,Early,True,False,31,0.7247927872291199,0.6889669190756866,Q1,3,87,90,0.20791169081775931,0.9781476007338057
Rivendell,SightSphere,2021-01-05,907414.5851830756,False,Rivendell_SightSphere,Tuesday,True,1,5,1,,,,Week 2,Early,True,False,31,0.8486442574947509,0.5289640103269624,Q1,4,86,90,0.27563735581699916,0.9612616959383189
Rivendell,SightSphere,2021-01-06,965534.2195343954,False,Rivendell_SightSphere,Wednesday,True,2,6,1,,,,Week 2,Early,True,False,31,0.9377521321470804,0.3473052528448203,Q1,5,85,90,0.3420201433256687,0.9396926207859084
Rivendell,SightSphere,2021-01-07,188840.18924608693,False,Rivendell_SightSphere,Thursday,True,3,7,1,,,,Week 2,Early,True,False,31,0.9884683243281114,0.1514277775045767,Q1,6,84,90,0.40673664307580015,0.9135454576426009
Rivendell,SightSphere,2021-01-08,626244.165982611,False,Rivendell_SightSphere,Friday,True,4,8,1,,,,Week 2,Early,False,False,31,0.9987165071710528,-0.05064916883871264,Q1,7,83,90,0.4694715627858908,0.882947592858927
Rivendell,SightSphere,2021-01-09,566456.7690795682,False,Rivendell_SightSphere,Saturday,False,5,9,1,,,,Week 2,Early,False,False,31,0.9680771188662043,-0.2506525322587204,Q1,8,82,90,0.5299192642332049,0.848048096156426
Rivendell,SightSphere,2021-01-11,74258.35385500254,False,Rivendell_SightSphere,Monday,True,0,11,1,319540.07030416746,,,Week 3,Mid,False,False,31,0.7907757369376989,-0.6121059825476626,Q1,10,80,90,0.6427876096865393,0.766044443118978
Rivendell,SightSphere,2021-01-12,1112777.6288677063,False,Rivendell_SightSphere,Tuesday,True,1,12,1,907414.5851830756,,,Week 3,Mid,False,False,31,0.6513724827222223,-0.7587581226927909,Q1,11,79,90,0.6946583704589973,0.7193398003386512
Rivendell,SightSphere,2021-01-13,413537.4387840004,False,Rivendell_SightSphere,Wednesday,True,2,13,1,965534.2195343954,,,Week 3,Mid,False,False,31,0.48530196253108104,-0.8743466161445821,Q1,12,78,90,0.7431448254773941,0.6691306063588582
Rivendell,SightSphere,2021-01-14,966721.642403632,False,Rivendell_SightSphere,Thursday,True,3,14,1,188840.18924608693,,,Week 3,Mid,False,False,31,0.29936312297335804,-0.9541392564000488,Q1,13,77,90,0.788010753606722,0.6156614753256583
Rivendell,SightSphere,2021-01-15,668201.3078027016,False,Rivendell_SightSphere,Friday,True,4,15,1,626244.165982611,,,Week 3,Mid,False,False,31,0.10116832198743272,-0.994869323391895,Q1,14,76,90,0.8290375725550417,0.5591929034707468
Rivendell,SightSphere,2021-01-16,234125.5758631665,False,Rivendell_SightSphere,Saturday,False,5,16,1,566456.7690795682,,,Week 3,Mid,False,False,31,-0.10116832198743204,-0.9948693233918952,Q1,15,75,90,0.8660254037844386,0.5000000000000001
Rivendell,SightSphere,2021-01-18,682344.7458942701,False,Rivendell_SightSphere,Monday,True,0,18,1,74258.35385500254,,,Week 4,Mid,False,False,31,-0.4853019625310808,-0.8743466161445822,Q1,17,73,90,0.9271838545667874,0.37460659341591196
Rivendell,SightSphere,2021-01-19,121453.06959498322,False,Rivendell_SightSphere,Tuesday,True,1,19,1,1112777.6288677063,,,Week 4,Mid,False,False,31,-0.651372482722222,-0.7587581226927911,Q1,18,72,90,0.9510565162951535,0.30901699437494745
Rivendell,SightSphere,2021-01-20,1165005.9945610596,False,Rivendell_SightSphere,Wednesday,True,2,20,1,413537.4387840004,,,Week 4,Mid,False,False,31,-0.7907757369376986,-0.6121059825476627,Q1,19,71,90,0.9702957262759965,0.2419218955996679
Rivendell,SightSphere,2021-01-21,566581.1262068696,False,Rivendell_SightSphere,Thursday,True,3,21,1,966721.642403632,,,Week 4,Late,False,False,31,-0.8978045395707417,-0.44039415155763423,Q1,20,70,90,0.984807753012208,0.17364817766693041
Rivendell,SightSphere,2021-01-22,467090.4056310344,False,Rivendell_SightSphere,Friday,True,4,22,1,668201.3078027016,,,Week 4,Late,False,False,31,-0.9680771188662041,-0.2506525322587213,Q1,21,69,90,0.9945218953682733,0.10452846326765346
Rivendell,SightSphere,2021-01-23,567481.6310120114,False,Rivendell_SightSphere,Saturday,False,5,23,1,234125.5758631665,,,Week 4,Late,False,False,31,-0.9987165071710528,-0.05064916883871355,Q1,22,68,90,0.9993908270190958,0.03489949670250108
Rivendell,SightSphere,2021-01-25,84631.27725752322,False,Rivendell_SightSphere,Monday,True,0,25,1,682344.7458942701,,,Week 5,Late,False,True,31,-0.9377521321470804,0.3473052528448203,Q1,24,66,90,0.9945218953682734,-0.10452846326765333
Rivendell,SightSphere,2021-01-26,270034.58389872627,False,Rivendell_SightSphere,Tuesday,True,1,26,1,121453.06959498322,,,Week 5,Late,False,True,31,-0.848644257494751,0.5289640103269624,Q1,25,65,90,0.984807753012208,-0.1736481776669303
Rivendell,SightSphere,2021-01-27,36496.34239637255,False,Rivendell_SightSphere,Wednesday,True,2,27,1,1165005.9945610596,,,Week 5,Late,False,True,31,-0.72479278722912,0.6889669190756865,Q1,26,64,90,0.9702957262759965,-0.24192189559966779
Rivendell,SightSphere,2021-01-28,-149776.7828723636,False,Rivendell_SightSphere,Thursday,True,3,28,1,566581.1262068696,,,Week 5,Late,False,True,31,-0.5712682150947924,0.8207634412072763,Q1,27,63,90,0.9510565162951536,-0.30901699437494734
Rivendell,SightSphere,2021-01-29,-697016.9925005166,False,Rivendell_SightSphere,Friday,True,4,29,1,467090.4056310344,,,Week 5,Late,False,True,31,-0.3943558551133187,0.9189578116202306,Q1,28,62,90,0.9271838545667874,-0.37460659341591207
Rivendell,SightSphere,2021-01-30,109203.0165457703,False,Rivendell_SightSphere,Saturday,False,5,30,1,567481.6310120114,,,Week 5,Late,False,True,31,-0.20129852008866114,0.9795299412524943,Q1,29,61,90,0.8987940462991669,-0.4383711467890775
Rivendell,SightSphere,2021-01-31,1824112.69,False,Rivendell_SightSphere,Sunday,False,6,31,1,,,,Week 5,Late,False,True,31,-2.4492935982947064e-16,1.0,Q1,30,60,90,0.8660254037844387,-0.4999999999999998
Rivendell,SightSphere,2021-02-01,22366.479319183152,False,Rivendell_SightSphere,Monday,True,0,1,2,,290193.61182774085,290193.61182774085,Week 1,Early,True,False,28,0.2225209339563144,0.9749279121818236,Q1,31,59,90,0.8290375725550417,-0.5591929034707467
Rivendell,SightSphere,2021-02-02,54126.27387912597,False,Rivendell_SightSphere,Tuesday,True,1,2,2,,602919.9668861228,602919.9668861228,Week 1,Early,True,False,28,0.4338837391175581,0.9009688679024191,Q1,32,58,90,0.788010753606722,-0.6156614753256583
Rivendell,SightSphere,2021-02-03,29467.147180853142,False,Rivendell_SightSphere,Wednesday,True,2,3,2,,645143.4988189569,645143.4988189569,Week 1,Early,True,False,28,0.6234898018587335,0.7818314824680298,Q1,33,57,90,0.7431448254773942,-0.6691306063588582
Rivendell,SightSphere,2021-02-04,4148.01986832627,False,Rivendell_SightSphere,Thursday,True,3,4,2,,393091.5437460562,393091.5437460562,Week 1,Early,True,False,28,0.7818314824680298,0.6234898018587336,Q1,34,56,90,0.6946583704589971,-0.7193398003386512
Rivendell,SightSphere,2021-02-05,12569.050530771336,False,Rivendell_SightSphere,Friday,True,4,5,2,,266129.7217289576,266129.7217289576,Week 1,Early,True,False,28,0.9009688679024191,0.4338837391175582,Q1,35,55,90,0.6427876096865395,-0.7660444431189779
Rivendell,SightSphere,2021-02-06,279.833202106333,False,Rivendell_SightSphere,Saturday,False,5,6,2,,369316.7481251291,369316.7481251291,Week 1,Early,True,False,28,0.9749279121818236,0.22252093395631445,Q1,36,54,90,0.5877852522924732,-0.8090169943749473
Rivendell,SightSphere,2021-02-08,8638.503118735307,False,Rivendell_SightSphere,Monday,True,0,8,2,22366.479319183152,290193.61182774085,290193.61182774085,Week 2,Early,False,False,28,0.9749279121818236,-0.22252093395631434,Q1,38,52,90,0.4694715627858911,-0.8829475928589268
Rivendell,SightSphere,2021-02-09,1416.2408769314102,False,Rivendell_SightSphere,Tuesday,True,1,9,2,54126.27387912597,602919.9668861228,602919.9668861228,Week 2,Early,False,False,28,0.9009688679024191,-0.43388373911755806,Q1,39,51,90,0.40673664307580043,-0.9135454576426008
Rivendell,SightSphere,2021-02-18,16123.396657341173,False,Rivendell_SightSphere,Thursday,True,3,18,2,4148.01986832627,393091.5437460562,393091.5437460562,Week 3,Mid,False,False,28,-0.7818314824680297,-0.6234898018587337,Q1,48,42,90,-0.20791169081775907,-0.9781476007338057
Rivendell,SightSphere,2021-02-19,320907.18342184176,False,Rivendell_SightSphere,Friday,True,4,19,2,12569.050530771336,266129.7217289576,266129.7217289576,Week 3,Mid,False,False,28,-0.900968867902419,-0.4338837391175583,Q1,49,41,90,-0.275637355816999,-0.9612616959383189
Rivendell,SightSphere,2021-02-20,292698.51294680004,False,Rivendell_SightSphere,Saturday,False,5,20,2,279.833202106333,369316.7481251291,369316.7481251291,Week 3,Mid,False,False,28,-0.9749279121818236,-0.2225209339563146,Q1,50,40,90,-0.34202014332566866,-0.9396926207859084
Rivendell,SightSphere,2021-02-22,256584.2616945594,False,Rivendell_SightSphere,Monday,True,0,22,2,8638.503118735307,290193.61182774085,290193.61182774085,Week 4,Late,False,True,28,-0.9749279121818238,0.22252093395631334,Q1,52,38,90,-0.46947156278589086,-0.8829475928589269
Rivendell,SightSphere,2021-02-23,76167.36189056227,False,Rivendell_SightSphere,Tuesday,True,1,23,2,1416.2408769314102,602919.9668861228,602919.9668861228,Week 4,Late,False,True,28,-0.9009688679024193,0.43388373911755795,Q1,53,37,90,-0.5299192642332048,-0.8480480961564261
Rivendell,SightSphere,2021-02-24,11465.550120337952,False,Rivendell_SightSphere,Wednesday,True,2,24,2,29467.147180853142,645143.4988189569,645143.4988189569,Week 4,Late,False,True,28,-0.7818314824680299,0.6234898018587334,Q1,54,36,90,-0.587785252292473,-0.8090169943749476
Rivendell,SightSphere,2021-02-25,-23527.217038290364,False,Rivendell_SightSphere,Thursday,True,3,25,2,16123.396657341173,393091.5437460562,393091.5437460562,Week 4,Late,False,True,28,-0.6234898018587337,0.7818314824680297,Q1,55,35,90,-0.6427876096865393,-0.766044443118978
Rivendell,SightSphere,2021-02-26,-9856.073297259867,False,Rivendell_SightSphere,Friday,True,4,26,2,320907.18342184176,266129.7217289576,266129.7217289576,Week 4,Late,False,True,28,-0.4338837391175575,0.9009688679024194,Q1,56,34,90,-0.6946583704589974,-0.7193398003386511
