Best Model: WeightedEnsemble_L3
Training Time: 0.03119635581970215 seconds
Validation Score: -801712.6499169396

Model Performance:
                      model     score_val             eval_metric  pred_time_val    fit_time  pred_time_val_marginal  fit_time_marginal  stack_level  can_infer  fit_order
        WeightedEnsemble_L3 -8.017126e+05 root_mean_squared_error      12.548095 1513.057087                0.000481           0.031196            3       True        127
        LightGBM_r96_BAG_L2 -8.327191e+05 root_mean_squared_error      11.387463 1159.409530                0.210503          10.399345            2       True        124
          LightGBMXT_BAG_L2 -8.332482e+05 root_mean_squared_error      11.400184 1173.484819                0.223224          24.474635            2       True        110
  NeuralNetTorch_r79_BAG_L2 -8.370457e+05 root_mean_squared_error      11.400826 1169.487304                0.223866          20.477119            2       True        120
       CatBoost_r177_BAG_L2 -8.422933e+05 root_mean_squared_error      11.241422 1472.540535                0.064462         323.530351            2       True        119
         CatBoost_r9_BAG_L2 -8.470999e+05 root_mean_squared_error      11.268245 1427.502646                0.091285         278.492461            2       True        123
            CatBoost_BAG_L2 -8.484464e+05 root_mean_squared_error      11.261437 1224.917890                0.084477          75.907706            2       True        113
            LightGBM_BAG_L2 -8.506396e+05 root_mean_squared_error      11.268311 1176.038682                0.091351          27.028498            2       True        111
       LightGBM_r131_BAG_L2 -8.508836e+05 root_mean_squared_error      11.925570 1242.720709                0.748610          93.710524            2       True        121
     NeuralNetFastAI_BAG_L2 -8.538740e+05 root_mean_squared_error      11.297695 1158.541890                0.120735           9.531706            2       True        115
       ExtraTreesMSE_BAG_L2 -8.595311e+05 root_mean_squared_error      11.303386 1150.332859                0.126426           1.322674            2       True        114
NeuralNetFastAI_r191_BAG_L2 -8.619285e+05 root_mean_squared_error      11.300716 1161.684134                0.123755          12.673950            2       True        122
        WeightedEnsemble_L2 -8.663772e+05 root_mean_squared_error       0.676947   96.005546                0.000477           0.031022            2       True        109
      NeuralNetTorch_BAG_L2 -8.701238e+05 root_mean_squared_error      11.372482 1165.711093                0.195521          16.700909            2       True        117
     RandomForestMSE_BAG_L2 -8.726572e+05 root_mean_squared_error      11.306367 1154.600024                0.129407           5.589840            2       True        112
       LightGBMLarge_BAG_L2 -8.778083e+05 root_mean_squared_error      11.677935 1421.114588                0.500975         272.104403            2       True        118
  NeuralNetTorch_r22_BAG_L2 -8.784159e+05 root_mean_squared_error      11.387859 1166.307946                0.210898          17.297762            2       True        125
             XGBoost_BAG_L2 -8.802884e+05 root_mean_squared_error      11.302555 1182.198416                0.125595          33.188232            2       True        116
         XGBoost_r33_BAG_L2 -9.020955e+05 root_mean_squared_error      11.345166 1176.754840                0.168206          27.744655            2       True        126
 NeuralNetTorch_r185_BAG_L1 -9.175315e+05 root_mean_squared_error       0.098020   24.041743                0.098020          24.041743            1       True         76
  NeuralNetTorch_r89_BAG_L1 -9.197926e+05 root_mean_squared_error       0.129436   17.791444                0.129436          17.791444            1       True        108
       CatBoost_r177_BAG_L1 -9.223108e+05 root_mean_squared_error       0.028100    6.181411                0.028100           6.181411            1       True         12
   NeuralNetTorch_r1_BAG_L1 -9.235274e+05 root_mean_squared_error       0.096675   19.535432                0.096675          19.535432            1       True        107
 NeuralNetTorch_r121_BAG_L1 -9.239600e+05 root_mean_squared_error       0.091549   21.594733                0.091549          21.594733            1       True         90
      ExtraTrees_r42_BAG_L1 -9.247478e+05 root_mean_squared_error       0.108927    0.546813                0.108927           0.546813            1       True         20
        CatBoost_r70_BAG_L1 -9.262020e+05 root_mean_squared_error       0.031582    7.571586                0.031582           7.571586            1       True         40
       LightGBM_r188_BAG_L1 -9.289950e+05 root_mean_squared_error       0.048587    4.839192                0.048587           4.839192            1       True         25
       CatBoost_r128_BAG_L1 -9.305857e+05 root_mean_squared_error       0.032660   13.645952                0.032660          13.645952            1       True         61
       ExtraTreesMSE_BAG_L1 -9.323951e+05 root_mean_squared_error       0.110502    0.527653                0.110502           0.527653            1       True          7
     ExtraTrees_r197_BAG_L1 -9.323951e+05 root_mean_squared_error       0.111569    1.392098                0.111569           1.392098            1       True         89
       CatBoost_r143_BAG_L1 -9.331848e+05 root_mean_squared_error       0.028401    7.267069                0.028401           7.267069            1       True         72
       CatBoost_r180_BAG_L1 -9.332525e+05 root_mean_squared_error       0.031922   10.844681                0.031922          10.844681            1       True         87
       LightGBM_r196_BAG_L1 -9.334157e+05 root_mean_squared_error       0.317696    7.794827                0.317696           7.794827            1       True         42
         CatBoost_r9_BAG_L1 -9.336839e+05 root_mean_squared_error       0.033202   14.970021                0.033202          14.970021            1       True         16
        CatBoost_r13_BAG_L1 -9.349555e+05 root_mean_squared_error       0.033703   39.428063                0.033703          39.428063            1       True         23
      ExtraTrees_r49_BAG_L1 -9.364277e+05 root_mean_squared_error       0.108163    1.045584                0.108163           1.045584            1       True         54
        CatBoost_r12_BAG_L1 -9.364297e+05 root_mean_squared_error       0.027069   21.279403                0.027069          21.279403            1       True         94
       CatBoost_r167_BAG_L1 -9.370337e+05 root_mean_squared_error       0.028316    7.515475                0.028316           7.515475            1       True         44
        CatBoost_r50_BAG_L1 -9.377777e+05 root_mean_squared_error       0.030383    5.778263                0.030383           5.778263            1       True         31
        CatBoost_r86_BAG_L1 -9.386495e+05 root_mean_squared_error       0.029656   37.743883                0.029656          37.743883            1       True         50
       CatBoost_r198_BAG_L1 -9.394245e+05 root_mean_squared_error       0.031777    6.771575                0.031777           6.771575            1       True        101
         CatBoost_r6_BAG_L1 -9.410724e+05 root_mean_squared_error       0.034275    5.276315                0.034275           5.276315            1       True         83
