Best Model: WeightedEnsemble_L3
Training Time: 0.033498525619506836 seconds
Validation Score: -1576767.1290875191

Model Performance:
                      model     score_val             eval_metric  pred_time_val    fit_time  pred_time_val_marginal  fit_time_marginal  stack_level  can_infer  fit_order
        WeightedEnsemble_L3 -1.576767e+06 root_mean_squared_error      11.527239 1000.406508                0.000478           0.033499            3       True        148
NeuralNetFastAI_r191_BAG_L2 -1.625532e+06 root_mean_squared_error       9.789155  892.889470                0.151555          11.306346            2       True        122
        CatBoost_r50_BAG_L2 -1.626455e+06 root_mean_squared_error       9.690266  911.743726                0.052666          30.160602            2       True        138
       CatBoost_r137_BAG_L2 -1.632247e+06 root_mean_squared_error       9.702077  907.306477                0.064477          25.723354            2       True        128
       CatBoost_r177_BAG_L2 -1.634727e+06 root_mean_squared_error       9.697133  913.844498                0.059533          32.261374            2       True        119
  NeuralNetTorch_r79_BAG_L2 -1.638180e+06 root_mean_squared_error      10.086174  897.156264                0.448575          15.573140            2       True        120
            CatBoost_BAG_L2 -1.638965e+06 root_mean_squared_error       9.703301  939.946199                0.065702          58.363075            2       True        113
NeuralNetFastAI_r143_BAG_L2 -1.639117e+06 root_mean_squared_error       9.817306  904.571975                0.179706          22.988852            2       True        146
     NeuralNetFastAI_BAG_L2 -1.639608e+06 root_mean_squared_error       9.772538  890.976949                0.134939           9.393826            2       True        115
NeuralNetFastAI_r103_BAG_L2 -1.639709e+06 root_mean_squared_error       9.751818  892.259259                0.114218          10.676135            2       True        143
 NeuralNetFastAI_r11_BAG_L2 -1.640340e+06 root_mean_squared_error       9.761631  895.470684                0.124031          13.887560            2       True        139
NeuralNetFastAI_r102_BAG_L2 -1.640642e+06 root_mean_squared_error       9.836588  900.267597                0.198988          18.684473            2       True        129
        CatBoost_r13_BAG_L2 -1.641763e+06 root_mean_squared_error       9.707286 1127.699989                0.069687         246.116865            2       True        130
NeuralNetFastAI_r145_BAG_L2 -1.642610e+06 root_mean_squared_error       9.767638  892.934841                0.130038          11.351717            2       True        133
        LightGBM_r96_BAG_L2 -1.643690e+06 root_mean_squared_error       9.691869  886.664831                0.054270           5.081708            2       True        124
  NeuralNetTorch_r14_BAG_L2 -1.646258e+06 root_mean_squared_error      10.080350  893.472642                0.442750          11.889518            2       True        144
        CatBoost_r69_BAG_L2 -1.646844e+06 root_mean_squared_error       9.706264  909.519589                0.068665          27.936466            2       True        142
  NeuralNetTorch_r30_BAG_L2 -1.647375e+06 root_mean_squared_error      10.123703  899.869392                0.486103          18.286268            2       True        135
         CatBoost_r9_BAG_L2 -1.647815e+06 root_mean_squared_error       9.704428 1177.224200                0.066828         295.641076            2       True        123
        WeightedEnsemble_L2 -1.651781e+06 root_mean_squared_error       0.758643  104.818129                0.000465           0.042166            2       True        109
       LightGBM_r188_BAG_L2 -1.652827e+06 root_mean_squared_error       9.949586  919.035150                0.311986          37.452026            2       True        132
       LightGBM_r130_BAG_L2 -1.655838e+06 root_mean_squared_error       9.667418  886.997596                0.029818           5.414472            2       True        136
            LightGBM_BAG_L2 -1.656609e+06 root_mean_squared_error       9.695954  893.087175                0.058354          11.504051            2       True        111
  NeuralNetTorch_r22_BAG_L2 -1.657474e+06 root_mean_squared_error      10.072143  896.741148                0.434543          15.158025            2       True        125
  NeuralNetTorch_r86_BAG_L2 -1.657534e+06 root_mean_squared_error      10.150372  894.924884                0.512773          13.341760            2       True        137
      ExtraTrees_r42_BAG_L2 -1.658694e+06 root_mean_squared_error       9.776013  882.527272                0.138414           0.944149            2       True        127
        CatBoost_r70_BAG_L2 -1.662387e+06 root_mean_squared_error       9.713807  908.217340                0.076207          26.634216            2       True        147
          LightGBMXT_BAG_L2 -1.662797e+06 root_mean_squared_error       9.677220  887.447622                0.039620           5.864498            2       True        110
       LightGBM_r161_BAG_L2 -1.670867e+06 root_mean_squared_error       9.790573  926.063396                0.152973          44.480272            2       True        145
      NeuralNetTorch_BAG_L2 -1.671358e+06 root_mean_squared_error      10.152094  895.142355                0.514494          13.559231            2       True        117
       LightGBM_r131_BAG_L2 -1.672520e+06 root_mean_squared_error       9.699515  894.258737                0.061915          12.675613            2       True        121
     ExtraTrees_r172_BAG_L2 -1.674251e+06 root_mean_squared_error       9.755388  882.159202                0.117789           0.576079            2       True        141
         XGBoost_r89_BAG_L2 -1.674835e+06 root_mean_squared_error       9.747537  896.928330                0.109937          15.345207            2       True        134
       ExtraTreesMSE_BAG_L2 -1.681972e+06 root_mean_squared_error       9.761502  882.884739                0.123903           1.301615            2       True        114
   RandomForest_r195_BAG_L2 -1.685566e+06 root_mean_squared_error       9.780874  885.548778                0.143274           3.965654            2       True        131
         XGBoost_r33_BAG_L2 -1.685945e+06 root_mean_squared_error       9.852801 1020.154835                0.215201         138.571712            2       True        126
             XGBoost_BAG_L2 -1.686828e+06 root_mean_squared_error       9.792557  909.022912                0.154958          27.439788            2       True        116
     RandomForestMSE_BAG_L2 -1.691290e+06 root_mean_squared_error       9.761084  886.590234                0.123485           5.007110            2       True        112
  NeuralNetTorch_r36_BAG_L1 -1.698903e+06 root_mean_squared_error       0.086501   12.284077                0.086501          12.284077            1       True         98
