Best Model: WeightedEnsemble_L3
Training Time: 0.05705118179321289 seconds
Validation Score: -221484.8644218582

Model Performance:
                      model      score_val             eval_metric  pred_time_val    fit_time  pred_time_val_marginal  fit_time_marginal  stack_level  can_infer  fit_order
        WeightedEnsemble_L3 -221484.864422 root_mean_squared_error      14.607885 1810.686561                0.000458           0.057051            3       True         79
NeuralNetFastAI_r102_BAG_L2 -224896.733914 root_mean_squared_error      13.461962 1600.218529                0.326896          48.822320            2       True         78
        WeightedEnsemble_L2 -225279.862137 root_mean_squared_error       0.906007  343.131043                0.000674           0.048950            2       True         58
  NeuralNetTorch_r79_BAG_L2 -226903.018782 root_mean_squared_error      13.305012 1585.969487                0.169946          34.573278            2       True         69
  NeuralNetTorch_r22_BAG_L2 -228920.328109 root_mean_squared_error      13.366066 1586.027645                0.231000          34.631437            2       True         74
NeuralNetFastAI_r191_BAG_L2 -229805.918927 root_mean_squared_error      13.482325 1575.518086                0.347259          24.121877            2       True         71
     NeuralNetFastAI_BAG_L2 -231333.572491 root_mean_squared_error      13.408600 1568.812768                0.273534          17.416560            2       True         64
            CatBoost_BAG_L2 -231344.971814 root_mean_squared_error      13.232622 1595.853813                0.097556          44.457604            2       True         62
         CatBoost_r9_BAG_L2 -231606.290667 root_mean_squared_error      13.199863 1792.441206                0.064797         241.044997            2       True         72
        LightGBM_r96_BAG_L2 -232296.624580 root_mean_squared_error      13.202580 1558.118277                0.067514           6.722069            2       True         73
       CatBoost_r137_BAG_L2 -232324.360835 root_mean_squared_error      13.206389 1586.477049                0.071323          35.080840            2       True         77
       CatBoost_r177_BAG_L2 -232483.640828 root_mean_squared_error      13.230608 1597.065965                0.095542          45.669756            2       True         68
          LightGBMXT_BAG_L2 -233491.804466 root_mean_squared_error      13.203424 1561.611590                0.068358          10.215381            2       True         59
     RandomForestMSE_BAG_L2 -235832.942717 root_mean_squared_error      13.405868 1557.520398                0.270802           6.124189            2       True         61
      ExtraTrees_r42_BAG_L2 -235966.420929 root_mean_squared_error      13.415426 1553.932059                0.280360           2.535850            2       True         76
            LightGBM_BAG_L2 -236323.069033 root_mean_squared_error      13.184241 1569.111219                0.049175          17.715011            2       True         60
         XGBoost_r33_BAG_L2 -236891.138997 root_mean_squared_error      13.532326 1668.480597                0.397260         117.084389            2       True         75
       ExtraTreesMSE_BAG_L2 -236993.627957 root_mean_squared_error      13.270665 1552.735792                0.135599           1.339583            2       True         63
       CatBoost_r167_BAG_L1 -237119.916539 root_mean_squared_error       0.045158   11.661624                0.045158          11.661624            1       True         44
       CatBoost_r177_BAG_L1 -237822.276104 root_mean_squared_error       0.035909   12.512956                0.035909          12.512956            1       True         12
       CatBoost_r137_BAG_L1 -238572.493720 root_mean_squared_error       0.040365   25.197441                0.040365          25.197441            1       True         21
      NeuralNetTorch_BAG_L2 -238692.847741 root_mean_squared_error      13.310625 1579.288050                0.175559          27.891841            2       True         66
            CatBoost_BAG_L1 -238779.593676 root_mean_squared_error       0.064517   21.103559                0.064517          21.103559            1       True          6
       LightGBM_r131_BAG_L2 -239065.890589 root_mean_squared_error      13.237589 1572.785317                0.102523          21.389108            2       True         70
  NeuralNetTorch_r79_BAG_L1 -239150.770464 root_mean_squared_error       0.234681   85.871511                0.234681          85.871511            1       True         13
        CatBoost_r13_BAG_L1 -239554.302320 root_mean_squared_error       0.082927   91.458484                0.082927          91.458484            1       True         23
        CatBoost_r70_BAG_L1 -240330.456373 root_mean_squared_error       0.036867   18.124017                0.036867          18.124017            1       True         40
NeuralNetFastAI_r145_BAG_L1 -240658.371170 root_mean_squared_error       0.370376   40.960178                0.370376          40.960178            1       True         26
         CatBoost_r9_BAG_L1 -240742.605837 root_mean_squared_error       0.088120   50.295780                0.088120          50.295780            1       True         16
        CatBoost_r49_BAG_L1 -240948.273081 root_mean_squared_error       0.044579   10.283155                0.044579          10.283155            1       True         53
        CatBoost_r86_BAG_L1 -241146.835126 root_mean_squared_error       0.039966   20.223773                0.039966          20.223773            1       True         50
        CatBoost_r69_BAG_L1 -241318.924306 root_mean_squared_error       0.280883   15.653609                0.280883          15.653609            1       True         35
             XGBoost_BAG_L2 -241389.983894 root_mean_squared_error      13.475506 1583.586554                0.340440          32.190345            2       True         65
       LightGBMLarge_BAG_L2 -241876.606556 root_mean_squared_error      13.225302 1592.039594                0.090236          40.643386            2       True         67
  NeuralNetTorch_r41_BAG_L1 -242078.702750 root_mean_squared_error       0.162225   44.346951                0.162225          44.346951            1       True         46
  NeuralNetTorch_r30_BAG_L1 -242618.230635 root_mean_squared_error       0.175259   98.755317                0.175259          98.755317            1       True         28
 NeuralNetTorch_r158_BAG_L1 -242717.266445 root_mean_squared_error       0.102824   52.818299                0.102824          52.818299            1       True         49
