Best Model: WeightedEnsemble_L3
Training Time: 0.07369756698608398 seconds
Validation Score: -424912.10295995267

Model Performance:
                      model      score_val             eval_metric  pred_time_val    fit_time  pred_time_val_marginal  fit_time_marginal  stack_level  can_infer  fit_order
        WeightedEnsemble_L3 -424912.102960 root_mean_squared_error      17.553453 1589.251925                0.000732           0.073698            3       True        102
NeuralNetFastAI_r191_BAG_L2 -437087.526931 root_mean_squared_error      15.571194 1483.365319                0.312244          22.593344            2       True         95
     NeuralNetFastAI_BAG_L2 -442808.698312 root_mean_squared_error      15.483114 1481.359401                0.224164          20.587426            2       True         88
  NeuralNetTorch_r79_BAG_L2 -450217.588600 root_mean_squared_error      16.290688 1491.531544                1.031738          30.759569            2       True         93
        WeightedEnsemble_L2 -454080.538462 root_mean_squared_error       1.394019  218.847296                0.000523           0.030734            2       True         82
            LightGBM_BAG_L2 -459822.698865 root_mean_squared_error      15.340451 1494.932047                0.081501          34.160072            2       True         84
      ExtraTrees_r42_BAG_L2 -459940.728249 root_mean_squared_error      15.453709 1463.192731                0.194759           2.420756            2       True        100
          LightGBMXT_BAG_L2 -460227.732916 root_mean_squared_error      15.319982 1475.740721                0.061032          14.968747            2       True         83
       ExtraTreesMSE_BAG_L2 -460531.192854 root_mean_squared_error      15.509789 1463.311764                0.250839           2.539789            2       True         87
       LightGBM_r131_BAG_L2 -463503.252448 root_mean_squared_error      15.342622 1490.648802                0.083672          29.876828            2       True         94
        LightGBM_r96_BAG_L2 -463688.140342 root_mean_squared_error      15.317049 1470.091203                0.058099           9.319229            2       True         97
            CatBoost_BAG_L2 -464952.412648 root_mean_squared_error      15.348325 1521.977052                0.089375          61.205077            2       True         86
       CatBoost_r137_BAG_L2 -465717.482952 root_mean_squared_error      15.435526 1475.156775                0.176576          14.384800            2       True        101
       CatBoost_r177_BAG_L2 -466836.005160 root_mean_squared_error      15.340389 1499.089187                0.081439          38.317213            2       True         92
         CatBoost_r9_BAG_L2 -468198.966992 root_mean_squared_error      15.357863 1774.165716                0.098913         313.393742            2       True         96
       LightGBMLarge_BAG_L2 -468420.884552 root_mean_squared_error      15.292822 1486.792532                0.033872          26.020557            2       True         91
         CatBoost_r9_BAG_L1 -469326.141023 root_mean_squared_error       0.069662   37.853184                0.069662          37.853184            1       True         16
